geo_code,total_households,deprived_0,deprived_1,deprived_2,deprived_3,deprived_4,multi_deprived,any_deprived,area_name,pct_deprived_0,pct_deprived_1,pct_deprived_2,pct_deprived_3,pct_deprived_4,pct_multi_deprived,pct_any_deprived
E09000010,119916,43308,41080,26163,8172,1193,35528,76608,Enfield,36.12,34.26,21.82,6.81,0.99,29.63,63.88
E09000011,101045,37600,34480,20809,7239,917,28965,63445,Greenwich,37.21,34.12,20.59,7.16,0.91,28.67,62.79
E09000012,101690,31994,36314,22514,9308,1560,33382,69696,Hackney,31.46,35.71,22.14,9.15,1.53,32.83,68.54
E09000013,80590,33427,27335,13749,5240,839,19828,47163,Hammersmith and Fulham,41.48,33.92,17.06,6.5,1.04,24.6,58.52
E09000014,101955,36356,34280,21949,7968,1402,31319,65599,Haringey,35.66,33.62,21.53,7.82,1.38,30.72,64.34
E09000015,84268,35196,28917,15813,3892,450,20155,49072,Harrow,41.77,34.32,18.77,4.62,0.53,23.92,58.23
E09000016,97199,38567,33711,20248,4272,401,24921,58632,Havering,39.68,34.68,20.83,4.4,0.41,25.64,60.32
E09000017,100214,40143,34824,19622,5029,596,25247,60071,Hillingdon,40.06,34.75,19.58,5.02,0.59,25.19,59.94
E09000018,94902,35413,33763,19203,5774,749,25726,59489,Hounslow,37.32,35.58,20.23,6.08,0.79,27.11,62.68
E09000019,93556,34289,31880,18351,7762,1274,27387,59267,Islington,36.65,34.08,19.61,8.3,1.36,29.27,63.35
E09000020,78536,34278,27161,11908,4366,823,17097,44258,Kensington and Chelsea,43.65,34.58,15.16,5.56,1.05,21.77,56.35
E09000021,63639,32175,20186,8892,2140,246,11278,31464,Kingston upon Thames,50.56,31.72,13.97,3.36,0.39,17.72,49.44
E09000022,130017,51814,44100,24158,8654,1291,34103,78203,Lambeth,39.85,33.92,18.58,6.66,0.99,26.23,60.15
E09000023,116091,44523,39640,22963,7871,1094,31928,71568,Lewisham,38.35,34.15,19.78,6.78,0.94,27.5,61.65
E09000024,78757,36641,25594,12685,3457,380,16522,42116,Merton,46.52,32.5,16.11,4.39,0.48,20.98,53.48
E09000025,101519,25356,38692,26412,9748,1311,37471,76163,Newham,24.98,38.11,26.02,9.6,1.29,36.91,75.02
E09000026,99105,38422,34616,20000,5455,612,26067,60683,Redbridge,38.77,34.93,20.18,5.5,0.62,26.3,61.23
E09000027,79835,46005,22322,8994,2237,277,11508,33830,Richmond upon Thames,57.63,27.96,11.27,2.8,0.35,14.41,42.37
E09000028,120422,43590,42428,24121,8961,1322,34404,76832,Southwark,36.2,35.23,20.03,7.44,1.1,28.57,63.8
E09000029,78174,35636,26211,12776,3195,356,16327,42538,Sutton,45.59,33.53,16.34,4.09,0.46,20.89,54.41
E09000030,101257,33144,36199,20987,9432,1495,31914,68113,Tower Hamlets,32.73,35.75,20.73,9.31,1.48,31.52,67.27
E09000031,96861,33217,33920,21764,7027,933,29724,63644,Waltham Forest,34.29,35.02,22.47,7.25,0.96,30.69,65.71
E09000032,130493,65759,39677,18174,6064,819,25057,64734,Wandsworth,50.39,30.41,13.93,4.65,0.63,19.2,49.61
E09000033,105772,41507,36506,18341,7790,1628,27759,64265,Westminster,39.24,34.51,17.34,7.36,1.54,26.24,60.76
W06000001,30594,12139,10168,6466,1668,153,8287,18455,Isle of Anglesey,39.68,33.24,21.13,5.45,0.5,27.09,60.32
